,play-team-vtm-link,play-team-vtm,quarter,time,score,neutral,play-team-htm-link,play-team-htm,play-team-vtm-video-url,play-team-htm-video-url
154,,,2,4:33,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=238&Season=2025&title=MISS Dantas 24' 3PT Jump Shot&SeasonType=Regular Season&LeagueID=10,MISS Dantas 24' 3PT Jump Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/238/3d47a677-40f4-228f-0fea-cd3a95e65a3c_1280x720.mp4
155,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=239&Season=2025&title=Mabrey REBOUND (Off:0 Def:3)&SeasonType=Regular Season&LeagueID=10,Mabrey REBOUND (Off:0 Def:3),2,4:28,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/239/5c484c60-2d60-a5fd-6057-14c193dea3ec_1280x720.mp4,
156,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=240&Season=2025&title=Mabrey Bad Pass Turnover (P2.T4)&SeasonType=Regular Season&LeagueID=10,Mabrey Bad Pass Turnover (P2.T4),2,4:25,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=240&Season=2025&title=Clark STEAL (1 STL)&SeasonType=Regular Season&LeagueID=10,Clark STEAL (1 STL),https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/240/58dd6178-417b-fdce-cc39-b96f7a4273ff_1280x720.mp4,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/240/58dd6178-417b-fdce-cc39-b96f7a4273ff_1280x720.mp4
157,,,2,4:20,33 - 39,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=242&Season=2025&title=Mitchell 2' Running Layup (8 PTS) (Clark 5 AST)&SeasonType=Regular Season&LeagueID=10,Mitchell 2' Running Layup (8 PTS) (Clark 5 AST),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/242/7e4c4f9a-22d0-ed11-b09e-4c8a29ea2f9e_1280x720.mp4
158,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=244&Season=2025&title=Mabrey Bad Pass Turnover (P3.T5)&SeasonType=Regular Season&LeagueID=10,Mabrey Bad Pass Turnover (P3.T5),2,4:03,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=244&Season=2025&title=Clark STEAL (2 STL)&SeasonType=Regular Season&LeagueID=10,Clark STEAL (2 STL),https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/244/193a7d1e-8bed-7dfd-45d1-22cf0bc0d3e0_1280x720.mp4,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/244/193a7d1e-8bed-7dfd-45d1-22cf0bc0d3e0_1280x720.mp4
159,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=246&Season=2025&title=Hartley P.FOUL (P1.T4)&SeasonType=Regular Season&LeagueID=10,Hartley P.FOUL (P1.T4),2,3:47,,,,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/246/279f7ded-a065-964c-2b55-21970d31a1d4_1280x720.mp4,
160,,,2,3:35,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=248&Season=2025&title=MISS Dantas 12' Turnaround Fadeaway Shot&SeasonType=Regular Season&LeagueID=10,MISS Dantas 12' Turnaround Fadeaway Shot,,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/248/e666cc5b-b0c9-b019-488d-d9f915843e90_1280x720.mp4
161,,,2,3:31,,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=249&Season=2025&title=Mitchell REBOUND (Off:1 Def:1)&SeasonType=Regular Season&LeagueID=10,Mitchell REBOUND (Off:1 Def:1),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/249/4dcf9ef3-37a2-e615-d47b-1a24b6f74457_1280x720.mp4
162,,,2,3:31,33 - 41,,https://stats.wnba.com/events/?flag=1&GameID=1022500071&GameEventID=250&Season=2025&title=Mitchell 3' Putback Layup (10 PTS)&SeasonType=Regular Season&LeagueID=10,Mitchell 3' Putback Layup (10 PTS),,https://videos.nba.com/wnba/pbp/media/2025/06/17/1022500071/250/c2d2cee7-8fc0-87cd-ba89-441d7f718b90_1280x720.mp4
163,,Mitchell 3' Putback Layup (10 PTS),2,3:27,,,,,,
